Item,X,Y
Golden Goblin,373,991
Golden Goblin,911,437
Golden Goblin,881,409
Golden Goblin,345,938
Golden Goblin,112,397
Golden Goblin,98,368
Golden Goblin,124,365
Golden Goblin,222,447
Golden Goblin,145,65
Golden Goblin,1141,125
Golden Goblin,1139,353
Golden Goblin,585,1106
Golden Goblin,571,1115
Golden Goblin,98,190
Golden Goblin,731,739
Golden Goblin,726,987
Golden Goblin,1050,953
Golden Goblin,614,802
Golden Goblin,529,1049
Golden Goblin,1006,1035
Golden Goblin,587,1121
Golden Goblin,841,185
Golden Goblin,1004,1178
Golden Goblin,454,1082
Golden Goblin,316,977
Golden Goblin,931,361
Golden Goblin,913,308
Golden Goblin,388,706
Golden Goblin,979,347
Golden Goblin,611,1193
Golden Goblin,341,359
Golden Goblin,442,122
Golden Goblin,735,694
Golden Goblin,1132,581
Golden Goblin,1021,524
Golden Goblin,203,726
Golden Goblin,721,473
Golden Goblin,737,481
Golden Goblin,871,1110
Golden Goblin,715,83
Golden Goblin,668,7
Golden Goblin,920,950
Golden Goblin,1133,76
Golden Goblin,1153,1097
Golden Goblin,1110,1103
Golden Goblin,941,637
Golden Goblin,1125,738
Golden Goblin,1003,1057
Golden Goblin,213,130
Golden Goblin,199,133
Golden Goblin,389,119
Golden Goblin,42,621
Golden Goblin,29,733
Golden Goblin,2,1171
Golden Goblin,848,83
Golden Goblin,176,176
Golden Goblin,91,1062
Golden Goblin,91,1057
Golden Goblin,1000,481
Golden Goblin,113,114
Golden Goblin,26,1027
Golden Goblin,1009,931
Golden Goblin,819,1046
Golden Goblin,947,955
Golden Goblin,947,41
Golden Goblin,245,47
Golden Goblin,223,935
Golden Goblin,215,941
Golden Goblin,283,1153
Golden Goblin,950,764
Golden Goblin,217,497
Golden Goblin,1144,271
Golden Goblin,955,841
Golden Goblin,593,227
Golden Goblin,234,873
Golden Goblin,332,140
Golden Goblin,90,961
Golden Goblin,865,377
Golden Goblin,835,361
Golden Goblin,259,793
Golden Goblin,589,101
Golden Goblin,577,113
Golden Goblin,328,457
Golden Goblin,44,67
Golden Goblin,856,1045
Golden Goblin,95,7
Golden Goblin,1121,910
Golden Goblin,955,971
Golden Goblin,9,743
Golden Goblin,767,391
Golden Goblin,65,382
Golden Goblin,869,589
Golden Goblin,1015,647
Golden Goblin,213,90
Golden Goblin,442,153
Golden Goblin,307,539
Golden Goblin,109,1048
Golden Goblin,305,779
Golden Goblin,190,579
Golden Goblin,509,244
